animal_name,hair/fur,feathers,eggs,milk,airborne,aquatic,predator,toothed,backbone,breathe,venomous,fins,tail,domestic,legless,quadruped,pet,night,horned,heavier
turtle,0,0,1,0,0,1,0,0,1,1,0,0,1,0,0,1,1,0,0,1
lizard,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1,1,0,0,0
gecko,0,0,1,0,0,0,0,1,1,1,0,0,1,0,1,1,1,1,0,0
python,0,0,1,0,0,0,1,1,1,1,0,0,1,0,1,0,0,1,0,1
alligator,0,0,1,0,0,1,1,1,1,1,0,0,1,0,0,1,0,1,0,1
skink,0,0,1,0,0,0,0,1,1,1,0,0,0,0,1,1,1,0,0,0
fish,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,0,1,0,0
salamander,0,0,1,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,0,0
frog,0,0,1,0,0,1,1,1,1,1,0,0,0,0,1,1,0,1,0,0
mosquito,0,0,1,0,1,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
hornet,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,1,0,0
butterfly,1,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
cockroach,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0
mantis,0,0,1,0,1,0,1,0,0,1,0,0,0,0,1,0,0,0,0,0
dog,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,0,0,1
cat,1,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,1,1,0,0
horse,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,1
cow,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1
sheep,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,0,1
goat,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1
pig,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,0,1,1
chicken,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,1,0,0,0
duck,0,1,1,0,1,1,1,1,1,1,0,0,1,1,0,1,1,1,0,0
turkey,0,1,1,0,1,0,0,0,1,1,0,0,1,1,0,0,0,0,0,1
elephant,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,1,1
tiger,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1
shark,0,0,1,0,0,1,1,1,1,0,0,1,1,0,1,0,0,1,0,1
mouse,1,0,0,1,0,0,0,1,1,1,0,0,1,1,0,1,1,1,0,0
kangaroo,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1
ostrich,0,1,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,0,0,1
owl,0,1,1,0,1,0,1,0,1,1,0,0,1,0,0,0,0,1,0,0
bat,1,0,0,1,1,0,1,1,1,1,1,0,1,0,0,0,0,1,0,0
bear,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,0,0,1
dolphin,0,0,0,0,0,1,0,1,1,1,0,1,1,0,1,0,0,0,0,1
sloth,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,0,0,1,0,1
lion,1,0,0,1,0,0,1,1,1,1,0,0,1,0,0,1,0,1,0,1
monkey,1,0,0,1,0,0,0,1,1,1,0,0,1,0,0,1,0,0,0,1
